Processing batch: 200 images across 10 states...
  state: us_california_dl
  state: us_pennsylvania_dl
  state: us_north_carolina_dl
  state: us_arizona_dl
  state: us_wisconsin_dl
  state: us_utah_dl
  state: us_nevada_dl
  state: us_west_virginia_dl
  state: us_south_dakota_dl
  state: us_dc_dl

=== Per-State Per-Field Accuracy (SIMPLE | PRODUCTION | REGION) ===

STATE                  FIELD         N   SIMPLE     PROD   REGION    P-Δ    R-Δ
us_pennsylvania_dl     list_16      11     0.0%     0.0%   100.0%  +0.0% +100.0%
us_pennsylvania_dl     list_18      11     0.0%     0.0%   100.0%  +0.0% +100.0%
us_south_dakota_dl     list_1        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_2        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_3        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_4a       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_4b       1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_south_dakota_dl     list_4d       1     0.0%     0.0%   100.0%  +0.0% +100.0%
us_south_dakota_dl     list_8f       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_8s       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_south_dakota_dl     list_9        1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_south_dakota_dl     list_9a       1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_south_dakota_dl     list_12       1     0.0%   100.0%     0.0% +100.0% -100.0%
us_south_dakota_dl     list_15       1   100.0%   100.0%     0.0%  +0.0% -100.0%
us_south_dakota_dl     list_16       1     0.0%     0.0%     0.0%  +0.0%  +0.0%
us_south_dakota_dl     list_17       1     0.0%     0.0%   100.0%  +0.0% +100.0%
us_south_dakota_dl     list_18       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_utah_dl             list_1        4   100.0%   100.0%    75.0%  +0.0% -25.0%
